gene_id,mean_cpm_ground,mean_cpm_flight,n_ground,n_flight,log2fc_flight_vs_ground
AT3G24500,5.747949589301344,11.609512955228134,18,18,0.9019914512844237
AT3G48740,15.606253535276888,30.008991900926258,18,18,0.9009599949997787
AT3G50980,1.663638724250377,3.973623316959163,18,18,0.9008988280687884
AT2G46860,0.15265845378542378,1.1509209507213929,18,18,0.899989415868799
AT1G30650,10.904875291147459,21.214012632524295,18,18,0.8999175101094864
AT3G12720,0.3902765385357973,1.5934861625712484,18,18,0.8995207957464315
AT3G01290,94.61823799096068,177.3538730448734,18,18,0.8993848192793197
AT5G43580,75.85911828373364,142.1528711093136,18,18,0.8972682744478743
AT5G54960,3.234321991105205,6.883312991710829,18,18,0.8966710745268625
AT5G12890,1.6426554608706627,3.9034174559057573,18,18,0.8917992474350008
AT2G19900,0.19384808289084202,1.2150062480476638,18,18,0.8916915029028757
AT5G39080,11.016693295998106,21.259426554297356,18,18,0.8893764707541252
AT5G57530,0.578519239001372,1.9208231865743985,18,18,0.887803182244215
AT1G28260,14.036635812017554,26.81130157318236,18,18,0.887189439634394
AT4G27410,5.1748225028367285,10.409769489581144,18,18,0.885800073603684
