gene_or_label,day,value,condition
"6,7-Dimethyl-8-ribityllumazine",111,0.72138952,6d darkness
6-Hydroxynicotinic acid,111,0.632618194,6d darkness
Adenosine 5'-monophosphate,111,-3.67371225,6d darkness
Allantoic acid,111,4.288445644,6d darkness
allantoin,111,1.204624695,6d darkness
alpha-D-Galacturonic acid 1-phosphate,111,3.48759955,6d darkness
alpha-Ketoglutaric acid,111,-2.708129608,6d darkness
Azelaic acid,111,-0.073420222,6d darkness
beta-Nicotinamide adenine dinucleotide,111,-1.363460097,6d darkness
Citramalic acid,111,-1.920043696,6d darkness
Citric acid,111,1.352562392,6d darkness
2-[[Amino(imino)methyl]amino]ethane-1-sulfonic acid,111,1.058323838,6d darkness
Dehydroisoandrosterone-3-sulfate ,111,4.195077167,6d darkness
Flavin Mononucleotide,111,-0.78711866,6d darkness
Flavine adenine dinucleotide (FAD),111,-1.174802506,6d darkness
Formimino-L-Aspartic acid,111,0.857024255,6d darkness
Glucoalyssin,111,-2.209649223,6d darkness
Glucobrassicin,111,-2.501908349,6d darkness
Glucoheptose,111,2.59222727,6d darkness
Glucohirsutin,111,-0.58230701,6d darkness
Gluconic acid,111,-0.244220762,6d darkness
Glutamic acid,111,-1.483336184,6d darkness
"Glutamic acid, N-acetyl-",111,-3.1959372,6d darkness
Glutathione,111,-1.70320664,6d darkness
Glycyl-L-phenylalanine,111,0.628489091,6d darkness
Guanosine,111,-0.852550335,6d darkness
Guanosine 2':3'-Cyclic monophosphate,111,1.015277034,6d darkness
2-Isopropylmalic acid,111,-0.981310795,6d darkness
2-Methylcitric acid,111,-4.072381489,6d darkness
Indoxyl-beta-D-glucoside,111,-1.289743501,6d darkness
Leucine,111,3.607647316,6d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,111,-2.919770728,6d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,111,-4.590286363,6d darkness
Kaempferol 3-O-rhamnoside 7-O-rhamnoside,111,-2.381233141,6d darkness
Lactulose,111,-6.29246911,6d darkness
Isoleucine,111,1.975411378,6d darkness
Loganin,111,2.748374492,6d darkness
Malic acid,111,-1.310925979,6d darkness
Malonamide,111,-2.022405413,6d darkness
Methionine,111,0.089359993,6d darkness
Monotropein,111,-0.146802416,6d darkness
"N,N-Dimethylglycine",111,-1.398400947,6d darkness
N-Acetyl-D-Phenylalanine,111,-1.217813597,6d darkness
N-Acetyl-L-Tyrosine,111,-2.861962645,6d darkness
Naringin,111,0.479344218,6d darkness
N-Ethylmaleamic acid,111,6.26461231,6d darkness
Ornithine,111,3.770767266,6d darkness
Pantothenic acid (Vitamine B5) ,111,1.702296885,6d darkness
p-Coumaric acid,111,4.508458748,6d darkness
3-Deoxy-D-manno-2-octulosonic acid,111,-0.921645037,6d darkness
3-Hydroxy-3-Methylglutaric acid,111,2.623416945,6d darkness
Purine,111,4.2079032,6d darkness
Pyridoxamine-5'-phosphate,111,-0.606907234,6d darkness
Pyroglutamic acid,111,-0.105751131,6d darkness
"Quercetin 3,7-dirhamnoside",111,-3.149215982,6d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,111,-4.321122598,6d darkness
Riboflavin ,111,-1.225534301,6d darkness
Rutin,111,-3.155120807,6d darkness
Saccharic acid,111,0.217469795,6d darkness
Salicin,111,-0.816643037,6d darkness
Sedoheptulose,111,2.168749687,6d darkness
Serine,111,-1.14514475,6d darkness
Sinapoylglucose,111,-4.086630816,6d darkness
Suberic acid,111,-0.040280828,6d darkness
Succinoadenosine,111,-0.072715967,6d darkness
Tetrahydroalstonine,111,0.33857538,6d darkness
trans-zeatin-O-glucoside,111,-0.583987732,6d darkness
Tryptophan,111,6.012745255,6d darkness
"Tryptophan, N-acetyl-",111,-0.852881186,6d darkness
4-Hydroxyquinazoline,111,1.753018565,6d darkness
Tyrosine,111,4.147920237,6d darkness
Uric acid,111,-1.669405092,6d darkness
Uridine-5'-diphosphogalactose,111,-2.813689398,6d darkness
5-Hydroxy-L-Tryptophan,112,1.112292386,6d darkness
"6,7-Dimethyl-8-ribityllumazine",112,1.119783846,6d darkness
6-Hydroxynicotinic acid,112,-3.965143038,6d darkness
Adenosine 5'-monophosphate,112,-3.086289736,6d darkness
Allantoic acid,112,4.104213198,6d darkness
allantoin,112,0.310503143,6d darkness
alpha-D-Galacturonic acid 1-phosphate,112,3.483929778,6d darkness
alpha-Ketoglutaric acid,112,-2.858239321,6d darkness
Azelaic acid,112,-0.074776773,6d darkness
beta-Nicotinamide adenine dinucleotide,112,-1.226260452,6d darkness
Citramalic acid,112,-1.479694309,6d darkness
Citric acid,112,0.838387535,6d darkness
2-[[Amino(imino)methyl]amino]ethane-1-sulfonic acid,112,0.879951403,6d darkness
Dehydroisoandrosterone-3-sulfate ,112,2.272672588,6d darkness
Flavin Mononucleotide,112,-0.731312349,6d darkness
Flavine adenine dinucleotide (FAD),112,-1.098033776,6d darkness
Formimino-L-Aspartic acid,112,0.583871573,6d darkness
Glucoalyssin,112,-4.950874375,6d darkness
Glucobrassicin,112,-2.812894982,6d darkness
Glucoheptose,112,3.09919151,6d darkness
Glucohirsutin,112,0.429069408,6d darkness
Gluconic acid,112,-0.491068241,6d darkness
Glutamic acid,112,-1.544441415,6d darkness
"Glutamic acid, N-acetyl-",112,-3.238798062,6d darkness
Glutathione,112,-1.668458254,6d darkness
Glycyl-L-phenylalanine,112,-0.840216652,6d darkness
Guanosine,112,-2.59902075,6d darkness
Guanosine 2':3'-Cyclic monophosphate,112,0.150906256,6d darkness
2-Isopropylmalic acid,112,-0.761816473,6d darkness
2-Methylcitric acid,112,-2.354213115,6d darkness
Indoxyl-beta-D-glucoside,112,-1.994039798,6d darkness
Leucine,112,4.689015663,6d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,112,-3.194318526,6d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,112,-3.529667202,6d darkness
Kaempferol 3-O-rhamnoside 7-O-rhamnoside,112,-2.29209915,6d darkness
Lactulose,112,-4.527698546,6d darkness
Isoleucine,112,3.190266719,6d darkness
Loganin,112,3.358852148,6d darkness
Malic acid,112,-2.26774382,6d darkness
Malonamide,112,-2.471979084,6d darkness
Methionine,112,1.10004377,6d darkness
Monotropein,112,0.050507367,6d darkness
"N,N-Dimethylglycine",112,-1.613362002,6d darkness
N-Acetyl-D-Phenylalanine,112,-1.401998772,6d darkness
N-Acetyl-L-Tyrosine,112,-2.899885721,6d darkness
Naringin,112,-0.41037965,6d darkness
N-Ethylmaleamic acid,112,6.432834275,6d darkness
Ornithine,112,3.928201585,6d darkness
Pantothenic acid (Vitamine B5) ,112,1.296106349,6d darkness
p-Coumaric acid,112,4.015020155,6d darkness
3-Deoxy-D-manno-2-octulosonic acid,112,-1.357074094,6d darkness
3-Hydroxy-3-Methylglutaric acid,112,5.283137651,6d darkness
Purine,112,5.189682313,6d darkness
Pyridoxamine-5'-phosphate,112,-0.4210563,6d darkness
Pyroglutamic acid,112,0.561045884,6d darkness
"Quercetin 3,7-dirhamnoside",112,-3.783127121,6d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,112,-3.840144434,6d darkness
Riboflavin ,112,-2.027992074,6d darkness
Rutin,112,-3.567273694,6d darkness
Saccharic acid,112,0.638672498,6d darkness
Salicin,112,-1.869411586,6d darkness
Sedoheptulose,112,1.882525665,6d darkness
Serine,112,-0.968180327,6d darkness
Sinapoylglucose,112,-2.374496106,6d darkness
Suberic acid,112,-0.038874184,6d darkness
Succinoadenosine,112,-0.492573016,6d darkness
Tetrahydroalstonine,112,0.498247911,6d darkness
trans-zeatin-O-glucoside,112,-1.103753231,6d darkness
Tryptophan,112,6.110413557,6d darkness
"Tryptophan, N-acetyl-",112,-1.127029449,6d darkness
4-Hydroxyquinazoline,112,4.282627639,6d darkness
Tyrosine,112,5.277112052,6d darkness
Uric acid,112,-1.209743906,6d darkness
Uridine-5'-diphosphogalactose,112,-2.491230251,6d darkness
5-Hydroxy-L-Tryptophan,113,3.758130877,6d darkness
"6,7-Dimethyl-8-ribityllumazine",113,0.943519212,6d darkness
6-Hydroxynicotinic acid,113,-3.376769784,6d darkness
Adenosine 5'-monophosphate,113,-3.649348772,6d darkness
Allantoic acid,113,3.892315501,6d darkness
allantoin,113,0.21645032,6d darkness
alpha-D-Galacturonic acid 1-phosphate,113,3.336360764,6d darkness
alpha-Ketoglutaric acid,113,-2.213557795,6d darkness
Azelaic acid,113,-0.070797568,6d darkness
beta-Nicotinamide adenine dinucleotide,113,-1.238399666,6d darkness
Citramalic acid,113,-1.087466957,6d darkness
Citric acid,113,1.981318792,6d darkness
2-[[Amino(imino)methyl]amino]ethane-1-sulfonic acid,113,1.539777143,6d darkness
Dehydroisoandrosterone-3-sulfate ,113,4.143154211,6d darkness
Flavin Mononucleotide,113,-0.627610986,6d darkness
Flavine adenine dinucleotide (FAD),113,-1.119832614,6d darkness
Formimino-L-Aspartic acid,113,0.362480647,6d darkness
Glucoalyssin,113,-3.509150187,6d darkness
Glucobrassicin,113,-4.400078059,6d darkness
Glucoheptose,113,2.399824074,6d darkness
Glucohirsutin,113,0.366589224,6d darkness
Gluconic acid,113,-0.317217641,6d darkness
Glutamic acid,113,-1.589399866,6d darkness
"Glutamic acid, N-acetyl-",113,-2.40869806,6d darkness
Glutathione,113,-1.788583399,6d darkness
Glycyl-L-phenylalanine,113,-0.224556941,6d darkness
Guanosine,113,-2.029379546,6d darkness
Guanosine 2':3'-Cyclic monophosphate,113,0.442667216,6d darkness
2-Isopropylmalic acid,113,-0.028343873,6d darkness
2-Methylcitric acid,113,-2.949859299,6d darkness
Indoxyl-beta-D-glucoside,113,-1.972523256,6d darkness
Leucine,113,3.416286338,6d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,113,-3.859619245,6d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,113,-5.796757757,6d darkness
Kaempferol 3-O-rhamnoside 7-O-rhamnoside,113,-4.99085151,6d darkness
Lactulose,113,-4.93490154,6d darkness
Isoleucine,113,1.272540338,6d darkness
Loganin,113,3.409561594,6d darkness
Malic acid,113,-1.250811587,6d darkness
Malonamide,113,-1.385345977,6d darkness
Methionine,113,-0.547372248,6d darkness
Monotropein,113,-0.302990458,6d darkness
"N,N-Dimethylglycine",113,-1.623589834,6d darkness
N-Acetyl-D-Phenylalanine,113,-1.158862579,6d darkness
N-Acetyl-L-Tyrosine,113,-3.524142819,6d darkness
Naringin,113,-4.151290412,6d darkness
N-Ethylmaleamic acid,113,5.682007777,6d darkness
Ornithine,113,3.063228996,6d darkness
Pantothenic acid (Vitamine B5) ,113,1.216581577,6d darkness
p-Coumaric acid,113,4.108967761,6d darkness
3-Deoxy-D-manno-2-octulosonic acid,113,-1.446537325,6d darkness
3-Hydroxy-3-Methylglutaric acid,113,2.88271289,6d darkness
Purine,113,3.966411353,6d darkness
Pyridoxamine-5'-phosphate,113,-1.13265397,6d darkness
Pyroglutamic acid,113,-0.177330553,6d darkness
"Quercetin 3,7-dirhamnoside",113,-5.44384358,6d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,113,-6.353502032,6d darkness
Riboflavin ,113,-1.326290681,6d darkness
Rutin,113,-3.492060959,6d darkness
Saccharic acid,113,0.057490316,6d darkness
Salicin,113,-1.109909077,6d darkness
Sedoheptulose,113,1.652870453,6d darkness
Serine,113,-1.39706988,6d darkness
Sinapoylglucose,113,-2.945989874,6d darkness
Suberic acid,113,-0.036172138,6d darkness
Succinoadenosine,113,0.079903111,6d darkness
Tetrahydroalstonine,113,-0.124399618,6d darkness
trans-zeatin-O-glucoside,113,-1.377228855,6d darkness
Tryptophan,113,5.419884265,6d darkness
"Tryptophan, N-acetyl-",113,-1.5023211,6d darkness
4-Hydroxyquinazoline,113,2.732220476,6d darkness
Tyrosine,113,4.156111262,6d darkness
Uric acid,113,-1.844677384,6d darkness
Uridine-5'-diphosphogalactose,113,-2.406952082,6d darkness
5-Hydroxy-L-Tryptophan,114,0.80042907,6d darkness
"6,7-Dimethyl-8-ribityllumazine",114,0.389023658,6d darkness
6-Hydroxynicotinic acid,114,0.997859079,6d darkness
Adenosine 5'-monophosphate,114,-3.432485091,6d darkness
Allantoic acid,114,3.968081427,6d darkness
allantoin,114,0.213405968,6d darkness
alpha-D-Galacturonic acid 1-phosphate,114,3.474945742,6d darkness
alpha-Ketoglutaric acid,114,-2.754252762,6d darkness
Azelaic acid,114,-0.07150369,6d darkness
beta-Nicotinamide adenine dinucleotide,114,-1.3705904,6d darkness
Citramalic acid,114,-2.040010619,6d darkness
Citric acid,114,1.408567449,6d darkness
2-[[Amino(imino)methyl]amino]ethane-1-sulfonic acid,114,1.797886051,6d darkness
Dehydroisoandrosterone-3-sulfate ,114,2.001488846,6d darkness
Flavin Mononucleotide,114,-0.697430884,6d darkness
Flavine adenine dinucleotide (FAD),114,-1.115518236,6d darkness
Formimino-L-Aspartic acid,114,0.736902525,6d darkness
Glucoalyssin,114,-2.07832932,6d darkness
Glucobrassicin,114,-2.651451869,6d darkness
Glucoheptose,114,3.043642055,6d darkness
Glucohirsutin,114,-0.442022361,6d darkness
Gluconic acid,114,-0.483076599,6d darkness
Glutamic acid,114,-1.24508486,6d darkness
"Glutamic acid, N-acetyl-",114,-2.695443348,6d darkness
Glutathione,114,-1.707039168,6d darkness
Glycyl-L-phenylalanine,114,-1.013104768,6d darkness
Guanosine,114,-1.322771021,6d darkness
Guanosine 2':3'-Cyclic monophosphate,114,0.486227479,6d darkness
2-Isopropylmalic acid,114,-1.106420865,6d darkness
2-Methylcitric acid,114,-2.747921002,6d darkness
Indoxyl-beta-D-glucoside,114,-2.138997593,6d darkness
Leucine,114,3.707579794,6d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,114,-3.480138356,6d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,114,-4.043398665,6d darkness
Kaempferol 3-O-rhamnoside 7-O-rhamnoside,114,-2.886279623,6d darkness
Lactulose,114,-4.274732116,6d darkness
Isoleucine,114,1.783226206,6d darkness
Loganin,114,3.320625742,6d darkness
Malic acid,114,-2.18695189,6d darkness
Malonamide,114,-2.071120909,6d darkness
Methionine,114,0.185681805,6d darkness
Monotropein,114,-0.157269816,6d darkness
"N,N-Dimethylglycine",114,-1.127412462,6d darkness
N-Acetyl-D-Phenylalanine,114,-1.81651958,6d darkness
N-Acetyl-L-Tyrosine,114,-3.761148832,6d darkness
Naringin,114,-0.044460084,6d darkness
N-Ethylmaleamic acid,114,5.57722183,6d darkness
Ornithine,114,3.624456474,6d darkness
Pantothenic acid (Vitamine B5) ,114,0.862382729,6d darkness
p-Coumaric acid,114,2.914794228,6d darkness
3-Deoxy-D-manno-2-octulosonic acid,114,-0.962506121,6d darkness
3-Hydroxy-3-Methylglutaric acid,114,2.250872154,6d darkness
Purine,114,4.493727596,6d darkness
Pyridoxamine-5'-phosphate,114,-0.7267515,6d darkness
Pyroglutamic acid,114,0.055386395,6d darkness
"Quercetin 3,7-dirhamnoside",114,-3.619984741,6d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,114,-3.87411842,6d darkness
Riboflavin ,114,-1.275633817,6d darkness
Rutin,114,-3.594064472,6d darkness
Saccharic acid,114,0.442934601,6d darkness
Salicin,114,-0.386095833,6d darkness
Sedoheptulose,114,2.111205919,6d darkness
Serine,114,-1.157576017,6d darkness
Sinapoylglucose,114,-2.750051683,6d darkness
Suberic acid,114,-0.038929128,6d darkness
Succinoadenosine,114,-0.334956144,6d darkness
Tetrahydroalstonine,114,-0.250786977,6d darkness
trans-zeatin-O-glucoside,114,-0.226116095,6d darkness
Tryptophan,114,5.333674793,6d darkness
"Tryptophan, N-acetyl-",114,-1.568364109,6d darkness
4-Hydroxyquinazoline,114,1.683289452,6d darkness
Tyrosine,114,4.43199762,6d darkness
Uric acid,114,-1.091530287,6d darkness
Uridine-5'-diphosphogalactose,114,-2.929120558,6d darkness
5-Hydroxy-L-Tryptophan,115,0.652994311,6d darkness
"6,7-Dimethyl-8-ribityllumazine",115,0.622527993,6d darkness
6-Hydroxynicotinic acid,115,0.509536109,6d darkness
Adenosine 5'-monophosphate,115,-3.55469442,6d darkness
Allantoic acid,115,4.03256979,6d darkness
allantoin,115,1.086789001,6d darkness
alpha-D-Galacturonic acid 1-phosphate,115,3.130229896,6d darkness
alpha-Ketoglutaric acid,115,-2.428083624,6d darkness
Azelaic acid,115,-0.067168114,6d darkness
beta-Nicotinamide adenine dinucleotide,115,-1.213263096,6d darkness
Citramalic acid,115,-1.132702126,6d darkness
Citric acid,115,1.369863182,6d darkness
2-[[Amino(imino)methyl]amino]ethane-1-sulfonic acid,115,2.408876913,6d darkness
Dehydroisoandrosterone-3-sulfate ,115,1.398396479,6d darkness
Flavin Mononucleotide,115,-0.617515554,6d darkness
Flavine adenine dinucleotide (FAD),115,-1.135933747,6d darkness
Formimino-L-Aspartic acid,115,0.297023949,6d darkness
Glucoalyssin,115,-6.429356019,6d darkness
Glucobrassicin,115,-1.670502449,6d darkness
Glucoheptose,115,2.911093958,6d darkness
Glucohirsutin,115,-0.41095108,6d darkness
Gluconic acid,115,-0.194652857,6d darkness
Glutamic acid,115,-1.370347899,6d darkness
"Glutamic acid, N-acetyl-",115,-3.883341487,6d darkness
Glutathione,115,-1.714537077,6d darkness
Glycyl-L-phenylalanine,115,-0.669581477,6d darkness
Guanosine,115,-1.498321596,6d darkness
Guanosine 2':3'-Cyclic monophosphate,115,0.397984456,6d darkness
2-Isopropylmalic acid,115,-0.838451007,6d darkness
2-Methylcitric acid,115,-2.477519644,6d darkness
Indoxyl-beta-D-glucoside,115,-1.231460306,6d darkness
Leucine,115,4.246196968,6d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,115,-2.13584312,6d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,115,-3.939909262,6d darkness
Kaempferol 3-O-rhamnoside 7-O-rhamnoside,115,-1.772445007,6d darkness
Lactulose,115,-4.155721902,6d darkness
Isoleucine,115,2.251877371,6d darkness
Loganin,115,3.145312331,6d darkness
Malic acid,115,-1.93176392,6d darkness
Malonamide,115,-1.890954834,6d darkness
Methionine,115,0.627761276,6d darkness
Monotropein,115,0.010190254,6d darkness
"N,N-Dimethylglycine",115,-1.358531124,6d darkness
N-Acetyl-D-Phenylalanine,115,-1.558247673,6d darkness
N-Acetyl-L-Tyrosine,115,-3.124123245,6d darkness
Naringin,115,0.664524331,6d darkness
N-Ethylmaleamic acid,115,6.031650299,6d darkness
Ornithine,115,3.541079426,6d darkness
Pantothenic acid (Vitamine B5) ,115,1.387700936,6d darkness
p-Coumaric acid,115,4.203285838,6d darkness
3-Deoxy-D-manno-2-octulosonic acid,115,-0.826020519,6d darkness
3-Hydroxy-3-Methylglutaric acid,115,2.422334325,6d darkness
Purine,115,4.529087708,6d darkness
Pyridoxamine-5'-phosphate,115,-0.496285427,6d darkness
Pyroglutamic acid,115,0.257477433,6d darkness
"Quercetin 3,7-dirhamnoside",115,-2.449002746,6d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,115,-4.235042364,6d darkness
Riboflavin ,115,-1.49785001,6d darkness
Rutin,115,-3.089141405,6d darkness
Saccharic acid,115,0.189543176,6d darkness
Salicin,115,1.025449483,6d darkness
Sedoheptulose,115,1.749930046,6d darkness
Serine,115,-0.939237423,6d darkness
Sinapoylglucose,115,-2.489010632,6d darkness
Suberic acid,115,-0.036636045,6d darkness
Succinoadenosine,115,0.13642646,6d darkness
Tetrahydroalstonine,115,0.00487608,6d darkness
trans-zeatin-O-glucoside,115,-0.823046634,6d darkness
Tryptophan,115,5.776442074,6d darkness
"Tryptophan, N-acetyl-",115,-0.866803103,6d darkness
4-Hydroxyquinazoline,115,3.475052589,6d darkness
Tyrosine,115,4.618876683,6d darkness
Uric acid,115,-0.056033393,6d darkness
Uridine-5'-diphosphogalactose,115,-2.57717622,6d darkness
5-Hydroxy-L-Tryptophan,116,1.233896013,6d darkness
"6,7-Dimethyl-8-ribityllumazine",116,0.45109662,6d darkness
6-Hydroxynicotinic acid,116,0.724742343,6d darkness
Adenosine 5'-monophosphate,116,-3.757178331,6d darkness
Allantoic acid,116,4.061003139,6d darkness
allantoin,116,-0.059026734,6d darkness
alpha-D-Galacturonic acid 1-phosphate,116,3.20803889,6d darkness
alpha-Ketoglutaric acid,116,-3.568995185,6d darkness
Azelaic acid,116,-0.070708825,6d darkness
beta-Nicotinamide adenine dinucleotide,116,-1.294707328,6d darkness
Citramalic acid,116,-1.37564887,6d darkness
Citric acid,116,1.397419872,6d darkness
2-[[Amino(imino)methyl]amino]ethane-1-sulfonic acid,116,0.214053416,6d darkness
Dehydroisoandrosterone-3-sulfate ,116,3.077124129,6d darkness
Flavin Mononucleotide,116,-0.64624427,6d darkness
Flavine adenine dinucleotide (FAD),116,-1.063755818,6d darkness
Formimino-L-Aspartic acid,116,0.35128653,6d darkness
Glucoalyssin,116,-3.152302596,6d darkness
Glucobrassicin,116,-2.146642314,6d darkness
Glucoheptose,116,3.018190698,6d darkness
Glucohirsutin,116,0.334906164,6d darkness
Gluconic acid,116,-0.288031779,6d darkness
Glutamic acid,116,-1.340746427,6d darkness
"Glutamic acid, N-acetyl-",116,-1.974047505,6d darkness
Glutathione,116,-1.603942128,6d darkness
Glycyl-L-phenylalanine,116,-1.091301756,6d darkness
Guanosine,116,-1.876589963,6d darkness
Guanosine 2':3'-Cyclic monophosphate,116,0.604649092,6d darkness
2-Isopropylmalic acid,116,-0.805167538,6d darkness
2-Methylcitric acid,116,-3.085519339,6d darkness
Indoxyl-beta-D-glucoside,116,-0.96003757,6d darkness
Leucine,116,4.025739512,6d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,116,-2.507721579,6d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,116,-3.922052016,6d darkness
Kaempferol 3-O-rhamnoside 7-O-rhamnoside,116,-3.546466276,6d darkness
Lactulose,116,-3.867797668,6d darkness
Isoleucine,116,2.097181298,6d darkness
Loganin,116,2.812282765,6d darkness
Malic acid,116,-2.35516012,6d darkness
Malonamide,116,-2.899229103,6d darkness
Methionine,116,-0.039454012,6d darkness
Monotropein,116,-0.151803583,6d darkness
"N,N-Dimethylglycine",116,-1.258519826,6d darkness
N-Acetyl-D-Phenylalanine,116,-1.951622811,6d darkness
N-Acetyl-L-Tyrosine,116,-3.978605656,6d darkness
Naringin,116,0.22311905,6d darkness
N-Ethylmaleamic acid,116,5.836634798,6d darkness
Ornithine,116,3.470775875,6d darkness
Pantothenic acid (Vitamine B5) ,116,1.030313821,6d darkness
p-Coumaric acid,116,3.7558181,6d darkness
3-Deoxy-D-manno-2-octulosonic acid,116,-1.038111417,6d darkness
3-Hydroxy-3-Methylglutaric acid,116,2.478925773,6d darkness
Purine,116,4.443446515,6d darkness
Pyridoxamine-5'-phosphate,116,-0.495858506,6d darkness
Pyroglutamic acid,116,0.264901446,6d darkness
"Quercetin 3,7-dirhamnoside",116,-5.465390553,6d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,116,-3.92913768,6d darkness
Riboflavin ,116,-1.63571964,6d darkness
Rutin,116,-3.149022328,6d darkness
Saccharic acid,116,0.514772652,6d darkness
Salicin,116,-2.141175629,6d darkness
Sedoheptulose,116,1.955405617,6d darkness
Serine,116,-1.143736779,6d darkness
Sinapoylglucose,116,-3.070877022,6d darkness
Suberic acid,116,-0.027322245,6d darkness
Succinoadenosine,116,-0.295740551,6d darkness
Tetrahydroalstonine,116,0.162733013,6d darkness
trans-zeatin-O-glucoside,116,-0.517673166,6d darkness
Tryptophan,116,5.582271899,6d darkness
"Tryptophan, N-acetyl-",116,-1.504090451,6d darkness
4-Hydroxyquinazoline,116,2.053834681,6d darkness
Tyrosine,116,4.61506248,6d darkness
Uric acid,116,-2.527389435,6d darkness
Uridine-5'-diphosphogalactose,116,-2.532292454,6d darkness
5-Hydroxy-L-Tryptophan,117,1.010591629,6d darkness
"6,7-Dimethyl-8-ribityllumazine",117,-0.040668693,6d darkness
6-Hydroxynicotinic acid,117,2.619873644,6d darkness
Adenosine 5'-monophosphate,117,-2.717172434,6d darkness
Allantoic acid,117,4.418932887,6d darkness
allantoin,117,-0.700249448,6d darkness
alpha-D-Galacturonic acid 1-phosphate,117,3.55839947,6d darkness
alpha-Ketoglutaric acid,117,-2.759975341,6d darkness
Azelaic acid,117,-0.064259925,6d darkness
beta-Nicotinamide adenine dinucleotide,117,-1.497184748,6d darkness
Citramalic acid,117,-2.700932521,6d darkness
Citric acid,117,0.744105147,6d darkness
2-[[Amino(imino)methyl]amino]ethane-1-sulfonic acid,117,-1.666540767,6d darkness
Dehydroisoandrosterone-3-sulfate ,117,1.528197083,6d darkness
Flavin Mononucleotide,117,-0.800229916,6d darkness
Flavine adenine dinucleotide (FAD),117,-1.599959579,6d darkness
Formimino-L-Aspartic acid,117,0.656395229,6d darkness
Glucoalyssin,117,-8.040333081,6d darkness
Glucobrassicin,117,-1.93104365,6d darkness
Glucoheptose,117,3.270872831,6d darkness
Glucohirsutin,117,0.006859293,6d darkness
Gluconic acid,117,-0.340602019,6d darkness
Glutamic acid,117,-1.385428706,6d darkness
"Glutamic acid, N-acetyl-",117,-3.50268286,6d darkness
Glutathione,117,-1.631858939,6d darkness
Glycyl-L-phenylalanine,117,-1.016541041,6d darkness
Guanosine,117,-1.458594507,6d darkness
Guanosine 2':3'-Cyclic monophosphate,117,0.849388666,6d darkness
2-Isopropylmalic acid,117,-0.885076577,6d darkness
2-Methylcitric acid,117,-2.216253009,6d darkness
Indoxyl-beta-D-glucoside,117,-1.021588375,6d darkness
Leucine,117,3.805781376,6d darkness
Kaempferol 3-O-6-O-(rhamnosyl) glucoside 7-O-rhamnoside,117,-2.543375573,6d darkness
Kaempferol 3-O-glucoside 7-O-rhamnoside,117,-4.115170239,6d darkness
Kaempferol 3-O-rhamnoside 7-O-rhamnoside,117,-1.897908797,6d darkness
Lactulose,117,-4.292117465,6d darkness
Isoleucine,117,1.776631344,6d darkness
Loganin,117,2.606704322,6d darkness
Malic acid,117,-2.04139533,6d darkness
Malonamide,117,-2.199941683,6d darkness
Methionine,117,0.657007954,6d darkness
Monotropein,117,-0.131883415,6d darkness
"N,N-Dimethylglycine",117,-1.199942204,6d darkness
N-Acetyl-D-Phenylalanine,117,-1.491166942,6d darkness
N-Acetyl-L-Tyrosine,117,-3.186167831,6d darkness
Naringin,117,-0.342116896,6d darkness
N-Ethylmaleamic acid,117,6.246219156,6d darkness
Ornithine,117,4.004979049,6d darkness
Pantothenic acid (Vitamine B5) ,117,1.167914617,6d darkness
p-Coumaric acid,117,4.119418408,6d darkness
3-Deoxy-D-manno-2-octulosonic acid,117,-0.859872064,6d darkness
3-Hydroxy-3-Methylglutaric acid,117,3.682031108,6d darkness
Purine,117,4.48062576,6d darkness
Pyridoxamine-5'-phosphate,117,-0.187273723,6d darkness
Pyroglutamic acid,117,0.229496054,6d darkness
"Quercetin 3,7-dirhamnoside",117,-2.313869171,6d darkness
Quercetin 3-O-glucoside 7-O-rhamnoside,117,-3.73167409,6d darkness
Riboflavin ,117,-1.206258851,6d darkness
Rutin,117,-3.358596143,6d darkness
Saccharic acid,117,0.623406893,6d darkness
Salicin,117,-0.917644754,6d darkness
Sedoheptulose,117,1.6761576,6d darkness
Serine,117,-1.18770335,6d darkness
Sinapoylglucose,117,-2.194827524,6d darkness
Suberic acid,117,-0.027611392,6d darkness
Succinoadenosine,117,-0.397977535,6d darkness
Tetrahydroalstonine,117,0.334029465,6d darkness
trans-zeatin-O-glucoside,117,-0.68134598,6d darkness
